price;longitude;latitude;total_square;living_square;kitchen_square;number_of_rooms;floor_number;number_of_floors
1200000.0;0.0;0.0;18.0;13.0;1.0;1;2;10
1150000.0;0.0;0.0;17.0;12.0;3.0;1;2;10
1660000.0;43.856444;56.299861;36.4;22.7;5.0;2;2;2
2800000.0;44.013721;56.260353;43.4;19.2;10.3;1;3;17
1150000.0;0.0;0.0;18.0;13.0;3.0;1;3;10
3520000.0;43.840687;56.305764;79.0;45.0;11.0;3;1;14
2648000.0;0.0;0.0;44.0;25.0;7.0;2;1;11
4200000.0;0.0;0.0;78.0;50.0;9.0;3;8;10
2800000.0;43.961762;56.233509;52.9;36.7;7.1;3;1;9
2580000.0;0.0;0.0;37.0;27.0;5.0;2;4;5
2400000.0;0.0;0.0;40.0;18.0;9.0;1;1;11
1750000.0;43.966317;56.233469;36.5;15.0;10.0;1;4;15
1760000.0;43.878354;56.270376;28.0;15.0;6.5;1;7;9
3600000.0;43.804961;56.367936;87.2;53.9;7.8;4;9;9
3162000.0;0.0;0.0;57.0;38.0;8.0;3;1;11
2450000.0;43.960352;56.231518;39.0;22.0;6.5;2;2;9
2500000.0;43.980474;56.259183;33.0;18.0;9.0;1;6;10
2300000.0;0.0;0.0;45.0;31.0;6.0;2;2;5
2600000.0;43.987005;56.282016;45.0;31.0;6.0;2;4;5
2700000.0;43.816388;56.361285;58.0;40.0;7.0;3;5;9
2200000.0;43.920754;56.335271;33.0;18.0;8.0;1;8;9
1430000.0;0.0;0.0;22.9;10.5;1.0;1;18;23
3350000.0;44.012149;56.263542;63.0;47.7;5.8;3;4;5
2850000.0;43.947111;56.226649;50.0;29.7;8.7;2;1;9
3200000.0;0.0;0.0;52.0;32.0;8.5;2;4;4
1290000.0;0.0;0.0;20.0;11.0;1.0;1;13;23
4150000.0;43.946195;56.340515;56.0;30.0;10.0;2;6;17
2830000.0;0.0;0.0;53.7;22.2;22.1;2;12;23
1550000.0;43.911807;56.327291;31.0;17.0;6.0;1;1;5
2070000.0;43.933816;56.295105;30.0;18.0;6.0;1;5;5
3180000.0;43.868688;56.352672;59.0;35.0;7.0;2;7;9
3150000.0;0.0;0.0;43.0;23.0;9.2;2;11;17
4100000.0;43.927114;56.340784;63.4;44.4;7.2;3;1;9
3250000.0;0.0;0.0;59.0;35.0;7.0;2;6;9
2390000.0;43.807962;56.362636;48.0;31.0;7.0;2;4;9
2500000.0;44.041515;56.301678;44.0;30.0;6.0;2;5;5
2090000.0;43.809516;56.367068;43.7;21.0;9.4;1;2;14
2100000.0;43.908645;56.328449;30.0;0.0;0.0;1;1;5
2350000.0;43.86487;56.226579;33.0;17.0;7.0;1;8;9
2500000.0;43.910064;56.340829;45.0;18.0;10.0;1;10;10
4990000.0;43.850479;56.250917;80.0;55.0;9.0;4;1;9
