price;longitude;latitude;total_square;living_square;kitchen_square;number_of_rooms;floor_number;number_of_floors;pricePerSquare
2500000.0;44.0409106;56.30373476;46.0;30.0;6.0;2;5;5;54347.82608695652
3200000.0;43.935756;56.306198;52.8;36.2;8.5;2;3;4;60606.06060606061
3450000.0;43.871796;56.323642;62.8;43.8;7.1;3;6;9;54936.30573248408
2130000.0;44.08458488;56.27689825;36.0;15.2;8.5;1;12;19;59166.666666666664
5450000.0;43.935199;56.303691;80.3;46.2;11.0;3;1;10;67870.48567870486
5180000.0;44.017269;56.264557;81.7;48.8;11.3;3;16;17;63402.69277845777
4200000.0;44.002079;56.312385;51.0;18.0;10.0;1;6;9;82352.94117647059
4650000.0;44.044955;56.304765;83.0;45.0;21.0;3;6;16;56024.096385542165
5950000.0;44.032954;56.28344;98.0;47.0;13.0;3;3;10;60714.28571428572
4000000.0;43.883995;56.330266;76.8;48.7;10.1;4;2;5;52083.333333333336
3550000.0;43.911457;56.26549;60.0;33.0;10.0;2;3;5;59166.666666666664
5200000.0;44.073001;56.283864;73.0;35.0;11.0;2;10;17;71232.87671232877
3260000.0;43.867161;56.232964;63.0;40.0;7.7;3;9;9;51746.031746031746
4600000.0;43.875874;56.261508;79.4;55.8;9.1;4;3;9;57934.508816120906
2650000.0;43.85816;56.229466;59.3;42.9;6.0;4;4;5;44688.02698145025
2550000.0;43.840687;56.305764;57.0;30.0;9.0;2;1;14;44736.84210526316
4138880.0;43.822326;56.230107;71.36;43.42;11.28;3;7;10;58000.0
4350000.0;44.04508375;56.30470536;74.0;31.0;24.0;2;9;16;58783.78378378379
1350000.0;43.917511;56.162241;30.0;13.0;6.5;1;2;5;45000.0
3250000.0;43.927671;56.343568;64.1;44.4;7.0;3;7;9;50702.02808112325
4500000.0;44.02407;56.320323;67.0;49.0;7.0;3;4;9;67164.17910447762
4710000.0;43.897847;56.264882;85.6;52.0;11.2;3;11;16;55023.364485981314
3100000.0;43.971383;56.241469;55.0;35.0;6.0;3;1;5;56363.63636363636
5170000.0;43.897847;56.264882;94.0;48.0;14.4;3;10;16;55000.0
2870000.0;43.880213;56.228416;56.0;40.0;9.0;3;4;9;51250.0
3850000.0;43.869712;56.327655;75.0;49.0;7.8;4;8;9;51333.333333333336
3550000.0;44.046141;56.287092;62.1;45.4;7.2;3;3;9;57165.861513687596
2818630.0;44.01725401;56.2646333;42.6;19.5;9.2;1;14;17;66165.02347417841
5557270.0;44.01820888;56.26366006;81.3;48.4;11.4;3;16;17;68355.10455104552
2815830.0;44.01725401;56.2646333;42.4;19.5;9.6;1;15;17;66411.08490566038
2540000.0;43.936187;56.322584;44.0;27.3;7.0;2;9;9;57727.27272727273
2470000.0;43.95313172;56.300231;38.0;15.5;11.0;1;2;25;65000.0
3251850.0;43.82559323;56.23038617;56.2;36.21;6.58;3;9;10;57862.09964412811
2671590.0;43.80145294;56.36201185;46.0;27.6;11.4;2;4;17;58078.04347826087
2150000.0;43.845664;56.34276;45.0;29.0;5.5;2;1;5;47777.77777777778
2800000.0;43.936053;56.277488;39.9;19.2;8.2;1;2;10;70175.43859649124
4000000.0;43.862049;56.238464;75.0;58.0;13.0;3;2;9;53333.333333333336
4800000.0;43.81938783;56.22658365;98.0;60.0;8.5;4;10;10;48979.5918367347
3350000.0;43.82560122;56.36646104;64.2;45.0;7.0;3;3;9;52180.68535825545
1750000.0;43.952384;56.229321;28.0;18.0;5.0;1;8;9;62500.0
10300000.0;44.074195;56.303107;121.0;74.0;15.0;4;5;11;85123.96694214876
1950000.0;44.024662;56.294846;38.0;29.0;4.5;3;2;2;51315.78947368421
